cohort,source_count,encoder,contrast,metric,paired_difference,ci95_low,ci95_high,participant_win_fraction,participants
oasis,8,qsf,random_robust minus random_ordinary,normalized_rmse,-0.0010959666040820353,-0.0014383543074244058,-0.000824119602320238,0.7657266811279827,461
oasis,8,qsf,random_robust minus random_ordinary,normalized_mse,-0.0002936204085473173,-0.00047818937865001934,-0.00017548437852551524,0.754880694143167,461
oasis,8,qsf,ordinary_selected minus random_ordinary,normalized_rmse,-0.008522065258932468,-0.00908863905993518,-0.007962555969306655,0.9436008676789588,461
oasis,8,qsf,ordinary_selected minus random_ordinary,normalized_mse,-0.0015419029412037859,-0.001673160938167152,-0.001402510916049338,0.9436008676789588,461
oasis,8,qsf,selected_sources_ordinary minus random_ordinary,normalized_rmse,-0.008566376021297235,-0.009093689684520127,-0.00802589469058801,0.9479392624728851,461
oasis,8,qsf,selected_sources_ordinary minus random_ordinary,normalized_mse,-0.0015762821802143684,-0.0017053949615894028,-0.001447156504546082,0.9436008676789588,461
oasis,8,qsf,selected_robust minus selected_sources_ordinary,normalized_rmse,-0.0015087907955514822,-0.001740259909845021,-0.0013081410943510316,0.8611713665943601,461
oasis,8,qsf,selected_robust minus selected_sources_ordinary,normalized_mse,-0.0002986435698863211,-0.00037140078946973105,-0.00023557766546514756,0.8590021691973969,461
oasis,8,qsf,selected_robust minus random_ordinary,normalized_rmse,-0.010075166816848717,-0.010632593093116177,-0.009539724684615994,0.9674620390455532,461
oasis,8,qsf,selected_robust minus random_ordinary,normalized_mse,-0.0018749257501006896,-0.0020257933806709133,-0.0017297630460151056,0.9718004338394793,461
oasis,8,qsf,spatial_robust minus selected_robust,normalized_rmse,0.00015916953655996548,-0.00038848380344101203,0.0007160611675757513,0.4772234273318872,461
oasis,8,qsf,spatial_robust minus selected_robust,normalized_mse,-3.2716913722645794e-05,-0.00021895046382815428,0.00010881875677434989,0.47288503253796094,461
oasis,8,qsf,floor_random_robust minus random_robust,normalized_rmse,0.004481714612254038,0.004204182056058865,0.00477068714437542,0.028199566160520606,461
oasis,8,qsf,floor_random_robust minus random_robust,normalized_mse,0.0008844375648117054,0.000782177447126953,0.0010143506169150215,0.026030368763557483,461
oasis,8,qsf,random_robust minus template_random_robust,normalized_rmse,0.05426162655464676,0.05301643768955564,0.055561236837138345,0.0,461
