cohort,count,task,a,b,comparison,a_mean,b_mean,a_minus_b,ci_low,ci_high,a_reduction_percent,a_win_fraction,participants,records
oasis,8,unseen,qsf,heat_norm18,oasis_8_unseen_qsf_heat_norm18,0.14115135402666873,0.1522802410296644,-0.011128887002995648,-0.011866441741601019,-0.010348215715712037,7.308162193431084,0.9175704989154013,461,2085
oasis,8,unseen,qsf,shortest_path,oasis_8_unseen_qsf_shortest_path,0.14115135402666873,0.16170974698923238,-0.020558392962563617,-0.0216709855953484,-0.01946401493229016,12.71314397884288,0.9804772234273319,461,2085
oasis,8,unseen,qsf,template_qsf,oasis_8_unseen_qsf_template_qsf,0.14115135402666873,0.4177805559444612,-0.27662920191779233,-0.27853460518880635,-0.2745765721407528,66.21399631498574,1.0,461,2085
oasis,8,unseen_vs_known,qsf_unseen,qsf_known,oasis_8_unseen_vs_known_qsf,0.14115135402666873,0.0912597833597615,0.049891570666907255,0.04921733036639477,0.050568620120676804,-54.66983246084009,0.0,461,2085
oasis,8,unseen_vs_known,heat_raw18_unseen,heat_raw18_known,oasis_8_unseen_vs_known_heat_raw18,0.14402650280708956,0.10909995694269423,0.03492654586439536,0.03436005452321839,0.03550637331842545,-32.01334523233665,0.0021691973969631237,461,2085
oasis,8,unseen_vs_known,heat_norm18_unseen,heat_norm18_known,oasis_8_unseen_vs_known_heat_norm18,0.1522802410296644,0.11474838435465066,0.037531856675013735,0.03693642798519583,0.038126840916618165,-32.70796088859493,0.0021691973969631237,461,2085
oasis,8,unseen_vs_known,shortest_path_unseen,shortest_path_known,oasis_8_unseen_vs_known_shortest_path,0.16170974698923238,0.1371059182534034,0.024603828735828937,0.023868473047577266,0.0251876260464688,-17.94512523548066,0.008676789587852495,461,2085
oasis,16,known,qsf,heat_raw18,oasis_16_known_qsf_heat_raw18,0.06593667995130083,0.08531446499586605,-0.019377785044565214,-0.019801771362989266,-0.01897973573906848,22.713364076659428,0.9978308026030369,461,2085
oasis,16,known,qsf,heat_norm18,oasis_16_known_qsf_heat_norm18,0.06593667995130083,0.08857246086576866,-0.022635780914467832,-0.023180083308150107,-0.02214433134354153,25.556228982699597,1.0,461,2085
oasis,16,known,qsf,prob6,oasis_16_known_qsf_prob6,0.06593667995130083,0.08996121698484555,-0.024024537033544725,-0.024474074195227968,-0.02354345784100176,26.70543800846067,0.9978308026030369,461,2085
oasis,16,known,qsf,amp12,oasis_16_known_qsf_amp12,0.06593667995130083,0.07367080645445402,-0.007734126503153183,-0.007952618725265967,-0.007527527967513994,10.498224297211559,0.9978308026030369,461,2085
oasis,16,known,qsf,prob18,oasis_16_known_qsf_prob18,0.06593667995130083,0.08561767133101328,-0.019680991379712433,-0.020103030955090848,-0.01925372318613031,22.987066891392324,0.9978308026030369,461,2085
oasis,16,known,qsf,amp18,oasis_16_known_qsf_amp18,0.06593667995130083,0.07182161866178562,-0.005884938710484778,-0.006148734320773535,-0.005646493252327835,8.193826343844306,0.9978308026030369,461,2085
oasis,16,known,qsf,shortest_path,oasis_16_known_qsf_shortest_path,0.06593667995130083,0.10752379973157829,-0.041587119780277466,-0.04280453959127041,-0.04061957178645219,38.6771299787538,1.0,461,2085
oasis,16,known,qsf,moments,oasis_16_known_qsf_moments,0.06593667995130083,0.16326601688403816,-0.09732933693273733,-0.09847864290758702,-0.09611981261321274,59.61395934701265,0.9956616052060737,461,2085
oasis,16,unseen,qsf,heat_raw18,oasis_16_unseen_qsf_heat_raw18,0.12506803435397792,0.1277255530119846,-0.002657518658006685,-0.0032134267840828305,-0.0021383544733703697,2.0806476036610446,0.6854663774403471,461,2085
oasis,16,unseen,qsf,heat_norm18,oasis_16_unseen_qsf_heat_norm18,0.12506803435397792,0.13597702975395295,-0.010908995399975033,-0.01149351226604352,-0.010340026146662832,8.02267516779458,0.982646420824295,461,2085
oasis,16,unseen,qsf,shortest_path,oasis_16_unseen_qsf_shortest_path,0.12506803435397792,0.14033713004568144,-0.015269095691703503,-0.0169064498960051,-0.014021328586849645,10.880296388228286,0.9544468546637744,461,2085
oasis,16,unseen,qsf,template_qsf,oasis_16_unseen_qsf_template_qsf,0.12506803435397792,0.18765493876125117,-0.06258690440727323,-0.06399341922442134,-0.06101586113387467,33.35212215592207,0.9891540130151844,461,2085
oasis,16,unseen_vs_known,qsf_unseen,qsf_known,oasis_16_unseen_vs_known_qsf,0.12506803435397792,0.06593667995130083,0.05913135440267709,0.05848231534590918,0.059785851907573025,-89.67899877025964,0.0,461,2085
oasis,16,unseen_vs_known,heat_raw18_unseen,heat_raw18_known,oasis_16_unseen_vs_known_heat_raw18,0.1277255530119846,0.08531446499586605,0.04241108801611855,0.041842530020064,0.04298996407424999,-49.71148564100308,0.0,461,2085
oasis,16,unseen_vs_known,heat_norm18_unseen,heat_norm18_known,oasis_16_unseen_vs_known_heat_norm18,0.13597702975395295,0.08857246086576866,0.04740456888818427,0.04683994467499845,0.04796479143940582,-53.52066367448659,0.0,461,2085
oasis,16,unseen_vs_known,shortest_path_unseen,shortest_path_known,oasis_16_unseen_vs_known_shortest_path,0.14033713004568144,0.10752379973157829,0.03281333031410312,0.032268866621339314,0.03340688109808746,-30.517271893309324,0.0021691973969631237,461,2085
oasis,32,known,qsf,heat_raw18,oasis_32_known_qsf_heat_raw18,0.04982894214398275,0.07107744921932321,-0.021248507075340466,-0.02171462591529487,-0.020829490034083648,29.894864417227588,1.0,461,2085
oasis,32,known,qsf,heat_norm18,oasis_32_known_qsf_heat_norm18,0.04982894214398275,0.07351192162177575,-0.023682979477792996,-0.02450227959333863,-0.02299987876648408,32.21651530161825,1.0,461,2085
oasis,32,known,qsf,prob6,oasis_32_known_qsf_prob6,0.04982894214398275,0.06273496667189195,-0.012906024527909203,-0.013240460663553255,-0.01256883461534981,20.57229837294497,0.9978308026030369,461,2085
oasis,32,known,qsf,amp12,oasis_32_known_qsf_amp12,0.04982894214398275,0.05667980732064381,-0.006850865176661063,-0.00711602216982882,-0.006607166948281778,12.086959184432247,1.0,461,2085
oasis,32,known,qsf,prob18,oasis_32_known_qsf_prob18,0.04982894214398275,0.060062849786285476,-0.01023390764230273,-0.010511216250374269,-0.009958807053010279,17.038664796487055,0.9978308026030369,461,2085
oasis,32,known,qsf,amp18,oasis_32_known_qsf_amp18,0.04982894214398275,0.05538507837389322,-0.005556136229910473,-0.005783134073444932,-0.005343290444977367,10.031828775978507,1.0,461,2085
oasis,32,known,qsf,shortest_path,oasis_32_known_qsf_shortest_path,0.04982894214398275,0.08569244889307376,-0.03586350674909101,-0.037271838808878216,-0.034762911740144,41.85142006367581,1.0,461,2085
oasis,32,known,qsf,moments,oasis_32_known_qsf_moments,0.04982894214398275,0.1351705177418983,-0.08534157559791555,-0.08629781531116779,-0.08438162667132876,63.13623490062474,1.0,461,2085
oasis,32,unseen,qsf,heat_raw18,oasis_32_unseen_qsf_heat_raw18,0.12109611163241918,0.12782164649326852,-0.006725534860849359,-0.0076008210372536765,-0.005866409270443998,5.261655631390672,0.7592190889370932,461,2085
oasis,32,unseen,qsf,heat_norm18,oasis_32_unseen_qsf_heat_norm18,0.12109611163241918,0.13468878683539048,-0.013592675202971303,-0.014379006196335175,-0.012882732229104972,10.091913010979566,0.9783080260303688,461,2085
oasis,32,unseen,qsf,shortest_path,oasis_32_unseen_qsf_shortest_path,0.12109611163241918,0.13413076230680265,-0.013034650674383473,-0.014587433869597915,-0.011910332734561248,9.71786818341403,0.9804772234273319,461,2085
oasis,32,unseen,qsf,template_qsf,oasis_32_unseen_qsf_template_qsf,0.12109611163241918,0.14361777351177935,-0.022521661879360125,-0.023424891964588766,-0.02155730013714941,15.68166761582122,0.9761388286334056,461,2085
oasis,32,unseen_vs_known,qsf_unseen,qsf_known,oasis_32_unseen_vs_known_qsf,0.12109611163241918,0.04982894214398275,0.07126716948843642,0.07055028462608502,0.07196563813485843,-143.0236453395038,0.0,461,2085
oasis,32,unseen_vs_known,heat_raw18_unseen,heat_raw18_known,oasis_32_unseen_vs_known_heat_raw18,0.12782164649326852,0.07107744921932321,0.05674419727394532,0.05596130075275989,0.05752959934844732,-79.83431861609175,0.0,461,2085
oasis,32,unseen_vs_known,heat_norm18_unseen,heat_norm18_known,oasis_32_unseen_vs_known_heat_norm18,0.13468878683539048,0.07351192162177575,0.06117686521361474,0.06040296651360664,0.06190935497951167,-83.22033197332836,0.0021691973969631237,461,2085
oasis,32,unseen_vs_known,shortest_path_unseen,shortest_path_known,oasis_32_unseen_vs_known_shortest_path,0.13413076230680265,0.08569244889307376,0.048438313413728895,0.04767820793124801,0.04918623481626855,-56.5257663183016,0.004338394793926247,461,2085
