cohort,source_count,encoder,policy,graph,scaling,family,equal_participant_nrmse,equal_participant_nmse,row_mean_nrmse,p95,p99,maximum,rows_above_one,participants,records
hcp83,8,heat_norm18,sfh_fixed,individual,tanh3,residual,0.21319944517824205,0.046683804017030685,0.2135130079435991,0.2666385474724448,0.28189926960645245,0.3768405865324692,0,729,3189
hcp83,8,heat_norm18,spectral,individual,tanh3,bounded_residual,0.15779053537327623,0.0251540692732387,0.15809335804560645,0.18488860644003793,0.20521337924833521,0.3016598886594236,0,729,3189
hcp83,8,heat_norm18,spectral,individual,tanh3,ordinary,0.15957557419552265,0.025721077953995863,0.159821616175484,0.18747316123504257,0.20571978118923018,0.2755925176825455,0,729,3189
hcp83,8,heat_norm18,spectral,individual,tanh3,projection,0.159181231241024,0.025592765793573953,0.15943364822550274,0.1870296361922847,0.2046887015473216,0.2755925176825455,0,729,3189
hcp83,8,heat_norm18,spectral,individual,tanh3,residual,0.15816874257818284,0.025276012208740446,0.15846950339825197,0.18520480674322948,0.20638167533787058,0.3004962803819645,0,729,3189
hcp83,8,heat_norm18,qsf_discrimination,individual,tanh3,bounded_residual,0.1458850290355081,0.021552797040145736,0.14600750207988059,0.1746338416364146,0.19040822515373987,0.2150564210342369,0,729,3189
hcp83,8,heat_norm18,qsf_discrimination,individual,tanh3,ordinary,0.14826298073921648,0.02226744976252248,0.1484022562949922,0.1784331889836252,0.1925928642132882,0.2171170368936965,0,729,3189
hcp83,8,heat_norm18,qsf_discrimination,individual,tanh3,projection,0.14765549861968524,0.02208620598498527,0.14775477668478376,0.17764000023446824,0.19178345180624143,0.2132325585466054,0,729,3189
hcp83,8,heat_norm18,qsf_discrimination,individual,tanh3,residual,0.14626912868540248,0.02166604228370043,0.1464256893564721,0.17525605433052982,0.19173410394905765,0.2113399153124014,0,729,3189
hcp83,8,heat_norm18,heat_discrimination,individual,tanh3,bounded_residual,0.14066124632800533,0.020115109519332663,0.1407722149832055,0.17171695809421084,0.194361721411903,0.2405089146686303,0,729,3189
hcp83,8,heat_norm18,heat_discrimination,individual,tanh3,ordinary,0.14224868460652276,0.020581192566221117,0.14234765665807894,0.17408899648396614,0.1979662070193159,0.2455066097765004,0,729,3189
hcp83,8,heat_norm18,heat_discrimination,individual,tanh3,projection,0.1419477132933185,0.020487998243830456,0.14203517221362238,0.1733396130527696,0.19656865737177937,0.2455066097765004,0,729,3189
hcp83,8,heat_norm18,heat_discrimination,individual,tanh3,residual,0.14101295154692825,0.020218685089383546,0.14112782981904687,0.17216776889686794,0.1947931231188435,0.2405089146686303,0,729,3189
