cohort,split_id,mask_id,source_count,encoder,family,alpha,radius,validation_nrmse,validation_nmse,validation_se,alpha_over_inner_N,policy
hcp83,2,1,16,heat_raw18,bounded_residual,0.001,1.0,0.11088778139902462,0.01250613572632294,0.0011148159365283942,6.554368486596317e-08,spectral
hcp83,2,1,16,heat_norm18,bounded_residual,0.001,1.0,0.10706081966049595,0.011646485337614879,0.0010447565080771,6.554368486596317e-08,spectral
hcp83,2,1,32,qsf,bounded_residual,0.1,4.0,0.07628119037360964,0.005988592634846942,0.0010022832809828096,6.554368486596317e-06,qsf_discrimination
hcp83,2,1,32,heat_raw18,bounded_residual,0.001,4.0,0.09769985682850943,0.009741886080981291,0.0010786361558132167,6.554368486596317e-08,spectral
hcp83,2,1,32,heat_norm18,bounded_residual,0.001,1.0,0.09626316852387937,0.009438831792505636,0.001009523228757706,6.554368486596317e-08,spectral
hcp83,2,2,8,qsf,bounded_residual,0.01,2.0,0.14277609211389766,0.020529375010951416,0.0009242381530330868,6.562541015881349e-07,heat_discrimination
hcp83,2,2,8,heat_raw18,bounded_residual,0.001,1.0,0.15482243607346152,0.0241105238596187,0.0009119104982346879,6.562541015881349e-08,qsf_discrimination
hcp83,2,2,8,heat_norm18,bounded_residual,0.001,2.0,0.15866024620054076,0.02534270753500263,0.0010018734243903182,6.562541015881349e-08,heat_discrimination
hcp83,2,2,16,qsf,bounded_residual,0.1,4.0,0.13227867363096002,0.017584983528730683,0.0007188749887810623,6.562541015881349e-06,qsf_discrimination
hcp83,2,2,16,heat_raw18,bounded_residual,0.001,1.0,0.14154874450901017,0.020150133267574925,0.000821624151026274,6.562541015881349e-08,qsf_discrimination
hcp83,2,2,16,heat_norm18,bounded_residual,0.01,1.0,0.1444684438325457,0.020977863042009957,0.0007947005636546343,6.562541015881349e-07,qsf_discrimination
hcp83,2,2,32,qsf,bounded_residual,0.1,1.0,0.12602062052836693,0.015947449025554793,0.000626119008670483,6.562541015881349e-06,qsf_discrimination
hcp83,2,2,32,heat_raw18,bounded_residual,0.001,1.0,0.13557298189358344,0.018486784084706668,0.0007947708731212284,6.562541015881349e-08,spectral
hcp83,2,2,32,heat_norm18,bounded_residual,0.01,1.0,0.13805333790095134,0.01915857271077251,0.0007686482608994586,6.562541015881349e-07,spectral
hcp83,2,3,8,qsf,bounded_residual,0.01,1.0,0.11734527090287418,0.013906366315920812,0.0008985646432274378,6.799945600435196e-07,heat_discrimination
hcp83,2,3,8,heat_raw18,bounded_residual,0.001,1.0,0.12931507353950933,0.01681471895965105,0.0007391451768360024,6.799945600435196e-08,heat_discrimination
hcp83,2,3,8,heat_norm18,bounded_residual,0.001,1.0,0.13307225528252534,0.01781884672217165,0.0008090523208996004,6.799945600435196e-08,heat_discrimination
hcp83,2,3,16,qsf,bounded_residual,0.01,1.0,0.1073828591967868,0.011640681587564065,0.0008053193651002494,6.799945600435196e-07,qsf_discrimination
hcp83,2,3,16,heat_raw18,bounded_residual,0.001,1.0,0.12005503267436708,0.014515547334320455,0.0007781652821691722,6.799945600435196e-08,qsf_discrimination
hcp83,2,3,16,heat_norm18,bounded_residual,0.001,1.0,0.12052989659828646,0.014645846878973093,0.0008369814211120727,6.799945600435196e-08,spectral
hcp83,2,3,32,qsf,bounded_residual,0.01,4.0,0.09765976926348048,0.009642856880262856,0.0007898256405093302,6.799945600435196e-07,heat_discrimination
hcp83,2,3,32,heat_raw18,bounded_residual,0.001,1.0,0.11167848991816046,0.012593430268029468,0.0008473598315910768,6.799945600435196e-08,qsf_discrimination
hcp83,2,3,32,heat_norm18,bounded_residual,0.001,1.0,0.10867628155972335,0.01193297027430703,0.0008511603658506599,6.799945600435196e-08,qsf_discrimination
hcp83,3,1,8,qsf,bounded_residual,0.1,4.0,0.10803760074652993,0.011940998657242323,0.001265088652492382,6.5651260504201685e-06,heat_discrimination
hcp83,3,1,8,heat_raw18,bounded_residual,0.001,4.0,0.12826938018508255,0.016656206070370497,0.0010997082332353325,6.565126050420168e-08,heat_discrimination
hcp83,3,1,8,heat_norm18,bounded_residual,0.001,2.0,0.13076509314277668,0.017337923161859482,0.0011912717724498784,6.565126050420168e-08,heat_discrimination
