cohort,source_count,encoder,track,split_id,mask_id,equal_participant_nrmse,equal_participant_nmse,row_mean_nrmse,p95,p99,maximum,rows_above_one,participants,records
hcp83,8,qsf,template_random_projection,5,3,0.03818364951781591,0.0016421483295627707,0.03818364951781591,0.06493671684447962,0.08288824311490486,0.1027753660476002,0,213,213
hcp83,8,qsf,template_random_robust,1,1,0.040693111331199655,0.0019214508293407318,0.040693111331199655,0.07162925135860457,0.08609025053034765,0.1426858753015523,0,213,213
hcp83,8,qsf,template_random_robust,1,2,0.037786087080264624,0.0016556158032221997,0.037786087080264624,0.06450467360303291,0.08438353171369785,0.1323075708655579,0,213,213
hcp83,8,qsf,template_random_robust,1,3,0.03613688092169676,0.0014952864124076252,0.03613688092169676,0.06147900553739392,0.07480984515813452,0.1181410382034213,0,213,213
hcp83,8,qsf,template_random_robust,2,1,0.03373617995898907,0.001283015617082353,0.03373617995898907,0.0550474332020745,0.07236339154947227,0.1218739072945466,0,211,211
hcp83,8,qsf,template_random_robust,2,2,0.041177799596499615,0.0019313674806565526,0.041177799596499615,0.07065016170889775,0.09629513497820172,0.1402541030110745,0,211,211
hcp83,8,qsf,template_random_robust,2,3,0.03225446138440943,0.0011517592487920165,0.03225446138440943,0.05159531948438215,0.06579062129692359,0.1071838773439364,0,211,211
hcp83,8,qsf,template_random_robust,3,1,0.03119976304935528,0.0011456551834749479,0.03119976304935528,0.05390207581708121,0.0738068103102998,0.1482144672942482,0,213,213
hcp83,8,qsf,template_random_robust,3,2,0.0389158626853114,0.0017817833609150636,0.0389158626853114,0.0759247223465704,0.09864928251650609,0.1285294807951288,0,213,213
hcp83,8,qsf,template_random_robust,3,3,0.035394355577317044,0.001436795432892129,0.035394355577317044,0.06469488237847507,0.08278988134680319,0.1057860560703354,0,213,213
hcp83,8,qsf,template_random_robust,4,1,0.03841194957822822,0.001709871574926461,0.03841194957822822,0.06515926566084812,0.08834973898708032,0.1263156576615316,0,213,213
hcp83,8,qsf,template_random_robust,4,2,0.039865772345671444,0.0018456622396895803,0.039865772345671444,0.06657684366856567,0.09398130759641417,0.1309816096309306,0,213,213
hcp83,8,qsf,template_random_robust,4,3,0.03484702813189598,0.0013417936038511795,0.03484702813189598,0.056263105037614974,0.07369828427784705,0.0969619049378865,0,213,213
hcp83,8,qsf,template_random_robust,5,1,0.03815862284902059,0.001709498967943719,0.03815862284902059,0.06458412315805276,0.09029885857939572,0.1645343028328683,0,213,213
hcp83,8,qsf,template_random_robust,5,2,0.038738210607368664,0.0017346607805150903,0.038738210607368664,0.06827985135513877,0.09085821126542905,0.1134769924137586,0,213,213
hcp83,8,qsf,template_random_robust,5,3,0.03675215074986936,0.0015335292010297797,0.03675215074986936,0.06345278047288432,0.08297197978356721,0.1054552336020634,0,213,213
hcp83,8,qsf,template_selected_bounded_residual,1,1,0.03474457893591037,0.0013484460303957572,0.03474457893591037,0.05797095736129583,0.07384906522805192,0.0983396512064107,0,213,213
hcp83,8,qsf,template_selected_bounded_residual,1,2,0.038189647879021675,0.0016609141490878405,0.038189647879021675,0.0636165090889623,0.08136432068185676,0.1212987551851365,0,213,213
hcp83,8,qsf,template_selected_bounded_residual,1,3,0.033540714165930456,0.0012420872608899774,0.033540714165930456,0.05368408831153774,0.06442794042787138,0.0983869689599425,0,213,213
hcp83,8,qsf,template_selected_bounded_residual,2,1,0.034102839372082853,0.001311539032281823,0.034102839372082853,0.05644728038003465,0.06901515027400516,0.1163630550800214,0,211,211
hcp83,8,qsf,template_selected_bounded_residual,2,2,0.03651399817484229,0.001509172148701702,0.03651399817484229,0.0587923855893846,0.07845926450631839,0.129626522652922,0,211,211
hcp83,8,qsf,template_selected_bounded_residual,2,3,0.032576227523571345,0.0011790987076411592,0.032576227523571345,0.05150135948323765,0.06883318669590781,0.1119195214524502,0,211,211
hcp83,8,qsf,template_selected_bounded_residual,3,1,0.034582294420139895,0.0013770425906233215,0.034582294420139895,0.06327408007210406,0.08021558405188715,0.0997431075099115,0,213,213
hcp83,8,qsf,template_selected_bounded_residual,3,2,0.037525966433649915,0.0015988055941220977,0.037525966433649915,0.06331312557332125,0.08723055810292994,0.1160571987813914,0,213,213
hcp83,8,qsf,template_selected_bounded_residual,3,3,0.03371052988185161,0.0012795598786411793,0.03371052988185161,0.05883976546217181,0.07343786853630549,0.0995140073389077,0,213,213
hcp83,8,qsf,template_selected_bounded_residual,4,1,0.033526969890328266,0.0012519162566158345,0.033526969890328266,0.052816455251547254,0.07948683548319513,0.0901561301527875,0,213,213
hcp83,8,qsf,template_selected_bounded_residual,4,2,0.036496804391365364,0.001495193907065046,0.036496804391365364,0.05756361416314598,0.08489307809261767,0.1063589780045306,0,213,213
hcp83,8,qsf,template_selected_bounded_residual,4,3,0.03246393438116711,0.0011595741330921122,0.03246393438116711,0.04991545397527399,0.07250651685750033,0.0914253918369017,0,213,213
hcp83,8,qsf,template_selected_bounded_residual,5,1,0.03466634745076019,0.0013598738518510699,0.03466634745076019,0.058430443456426534,0.08008813518781982,0.0889806252232073,0,213,213
hcp83,8,qsf,template_selected_bounded_residual,5,2,0.03746985938907534,0.0015710140267572662,0.03746985938907534,0.062252564330272944,0.08324654237726072,0.0990011261619325,0,213,213
hcp83,8,qsf,template_selected_bounded_residual,5,3,0.033566649556579335,0.0012500024618600728,0.033566649556579335,0.05512510064568389,0.07289190092252033,0.085998519126649,0,213,213
